Career,Domain,Skills
Data Scientist,AI,Python|Statistics|Machine Learning
Web Developer,Software,HTML|CSS|JavaScript
Cyber Security,Security,Networking|Linux|Python
Cloud Engineer,Infrastructure,AWS|Azure|Docker|Kubernetes
UI/UX Designer,Design,Wireframing|Prototyping|Figma|Adobe XD
DevOps Engineer,Software,CI/CD|Jenkins|Git|Docker
AI Researcher,AI,Deep Learning|TensorFlow|PyTorch
Database Administrator,Data,SQL|NoSQL|Database Design
Mobile App Developer,Software,Java|Kotlin|Swift|Flutter
Business Analyst,Business,Data Analysis|Excel|Communication
